,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
0,경북외국어고등학교(외국어고)경상북도 구미시 남통동,4 명2 명2 명,0 명0 명0 명,4 명,
1,현일고등학교(일반고)경상북도 구미시 고아읍 항곡리,2 명2 명0 명,1 명1 명0 명,3 명,
2,오상고등학교(일반고)경상북도 구미시 장천면 상장리,2 명2 명0 명,0 명0 명0 명,2 명,
3,경구고등학교(일반고)경상북도 구미시 봉곡동,0 명0 명0 명,1 명1 명0 명,1 명,
4,구미고등학교(일반고)경상북도 구미시 도량동,1 명1 명0 명,0 명0 명0 명,1 명,
5,금오고등학교(일반고)경상북도 구미시 광평동,0 명0 명0 명,0 명0 명0 명,0 명,
6,구미여자고등학교(일반고)경상북도 구미시 도량동,0 명0 명0 명,0 명0 명0 명,0 명,
7,상모고등학교(일반고)경상북도 구미시 상모동,0 명0 명0 명,0 명0 명0 명,0 명,
8,사곡고등학교(일반고)경상북도 구미시 사곡동,0 명0 명0 명,0 명0 명0 명,0 명,
9,선산고등학교(일반고)경상북도 구미시 선산읍 노상리,0 명0 명0 명,0 명0 명0 명,0 명,
10,금오여자고등학교(일반고)경상북도 구미시 지산동,0 명0 명0 명,0 명0 명0 명,0 명,
11,인동고등학교(자율형공립고)경상북도 구미시 구평동,0 명0 명0 명,0 명0 명0 명,0 명,
0,대가야고등학교(일반고)경상북도 고령군 대가야읍 쾌빈리,1 명1 명0 명,0 명0 명0 명,1 명,
0,경주고등학교(일반고)경상북도 경주시 황오동,5 명3 명2 명,1 명0 명1 명,6 명,
1,문화고등학교(일반고)경상북도 경주시 충효동,1 명1 명0 명,1 명1 명0 명,2 명,
2,안강여자고등학교(일반고)경상북도 경주시 안강읍 산대리,0 명0 명0 명,0 명0 명0 명,0 명,
3,신라고등학교(일반고)경상북도 경주시 충효동,0 명0 명0 명,0 명0 명0 명,0 명,
4,근화여자고등학교(일반고)경상북도 경주시 용강동,0 명0 명0 명,0 명0 명0 명,0 명,
5,경주여자고등학교(일반고)경상북도 경주시 성건동,0 명0 명0 명,0 명0 명0 명,0 명,
0,경산과학고등학교(과학고)경상북도 경산시 갑제동,2 명2 명0 명,19 명19 명0 명,21 명,
1,경산여자고등학교(일반고)경상북도 경산시 옥곡동,1 명1 명0 명,0 명0 명0 명,1 명,
2,대구가톨릭대학교사범대학부속무학고등학교(일반고)경상북도 경산시 하양읍 도리리,1 명1 명0 명,0 명0 명0 명,1 명,
3,문명고등학교(일반고)경상북도 경산시 백천동,0 명0 명0 명,0 명0 명0 명,0 명,
4,경산고등학교(자율형공립고)경상북도 경산시 계양동,0 명0 명0 명,0 명0 명0 명,0 명,
5,진량고등학교(일반고)경상북도 경산시 진량읍 신상리,0 명0 명0 명,0 명0 명0 명,0 명,
6,하양여자고등학교(일반고)경상북도 경산시 하양읍 대학리,0 명0 명0 명,0 명0 명0 명,0 명,
0,능주고등학교(일반고)전라남도 화순군 능주면,2 명2 명0 명,1 명0 명1 명,3 명,
1,화순고등학교(일반고)전라남도 화순군 화순읍 삼천리,0 명0 명0 명,0 명0 명0 명,0 명,
0,해남고등학교(자율형공립고)전라남도 해남군 해남읍,0 명0 명0 명,0 명0 명0 명,0 명,
0,진도고등학교(일반고)전라남도 진도군 진도읍 동외리,1 명1 명0 명,0 명0 명0 명,1 명,
1,진도국악고등학교(특목고)전라남도 진도군 임회면,1 명1 명0 명,0 명0 명0 명,1 명,
0,장흥고등학교(일반고)전라남도 장흥군 장흥읍 건산리,0 명0 명0 명,0 명0 명0 명,0 명,
0,장성고등학교(일반고)전라남도 장성군 장성읍,2 명1 명1 명,1 명1 명0 명,3 명,
0,완도고등학교(일반고)전라남도 완도군 완도읍,0 명0 명0 명,1 명1 명0 명,1 명,
0,영암고등학교(일반고)전라남도 영암군 영암읍,1 명1 명0 명,0 명0 명0 명,1 명,
1,삼호고등학교(일반고)전라남도 영암군 삼호읍 용앙리,0 명0 명0 명,0 명0 명0 명,0 명,
0,해룡고등학교(일반고)전라남도 영광군 영광읍,2 명2 명0 명,0 명0 명0 명,2 명,
0,한영고등학교(일반고)전라남도 여수시 여서동,2 명2 명0 명,0 명0 명0 명,2 명,
1,여수고등학교(자율형공립고)전라남도 여수시 수정동,2 명2 명0 명,0 명0 명0 명,2 명,
2,여천고등학교(일반고)전라남도 여수시 선원동,0 명0 명0 명,1 명1 명0 명,1 명,
3,여수충무고등학교(일반고)전라남도 여수시 미평동,0 명0 명0 명,0 명0 명0 명,0 명,
4,여수화양고등학교(일반고)전라남도 여수시 화양면,0 명0 명0 명,0 명0 명0 명,0 명,
5,여수중앙여자고등학교(일반고)전라남도 여수시 덕충동,0 명0 명0 명,0 명0 명0 명,0 명,
0,도초고등학교(일반고)전라남도 신안군 도초면,1 명1 명0 명,0 명0 명0 명,1 명,
0,순천매산고등학교(일반고)전라남도 순천시 매곡동,1 명1 명0 명,2 명2 명0 명,3 명,
1,순천매산여자고등학교(일반고)전라남도 순천시 매곡동,2 명2 명0 명,0 명0 명0 명,2 명,
2,순천팔마고등학교(일반고)전라남도 순천시 용당동,2 명1 명1 명,0 명0 명0 명,2 명,
3,순천고등학교(자율형공립고)전라남도 순천시 인제동,1 명1 명0 명,0 명0 명0 명,1 명,
4,순천복성고등학교(일반고)전라남도 순천시 해룡면 복성리,1 명1 명0 명,0 명0 명0 명,1 명,
5,순천금당고등학교(일반고)전라남도 순천시 조례동,1 명1 명0 명,0 명0 명0 명,1 명,
6,순천효천고등학교(일반고)전라남도 순천시 대룡동,1 명1 명0 명,0 명0 명0 명,1 명,
7,순천강남여자고등학교(일반고)전라남도 순천시 조례동,1 명1 명0 명,0 명0 명0 명,1 명,
8,순천여자고등학교(일반고)전라남도 순천시 저전동,1 명1 명0 명,0 명0 명0 명,1 명,
0,벌교고등학교(일반고)전라남도 보성군 벌교읍,1 명1 명0 명,0 명0 명0 명,1 명,
0,남악고등학교(자율고)전라남도 무안군 삼향읍 남악리,1 명1 명0 명,0 명0 명0 명,1 명,
1,전남예술고등학교(예술고)전라남도 무안군 삼향읍 유교리,0 명0 명0 명,0 명0 명0 명,0 명,
2,무안고등학교(일반고)전라남도 무안군 무안읍 성남리,0 명0 명0 명,0 명0 명0 명,0 명,
0,목포홍일고등학교(일반고)전라남도 목포시 죽교동,3 명2 명1 명,0 명0 명0 명,3 명,
1,목포덕인고등학교(일반고)전라남도 목포시 죽교동,2 명1 명1 명,0 명0 명0 명,2 명,
2,영흥고등학교(일반고)전라남도 목포시 상동,2 명2 명0 명,0 명0 명0 명,2 명,
3,목포고등학교(자율형공립고)전라남도 목포시 용당동,1 명1 명0 명,0 명0 명0 명,1 명,
4,목포정명여자고등학교(일반고)전라남도 목포시 양동,1 명1 명0 명,0 명0 명0 명,1 명,
5,목포제일여자고등학교(일반고)전라남도 목포시 옥암동,0 명0 명0 명,1 명1 명0 명,1 명,
6,목포혜인여자고등학교(일반고)전라남도 목포시 죽교동,0 명0 명0 명,0 명0 명0 명,0 명,
7,목포여자고등학교(일반고)전라남도 목포시 대성동,0 명0 명0 명,0 명0 명0 명,0 명,
8,목상고등학교(일반고)전라남도 목포시 용당동,0 명0 명0 명,0 명0 명0 명,0 명,
0,창평고등학교(일반고)전라남도 담양군 창평면,3 명3 명0 명,0 명0 명0 명,3 명,
1,담양고등학교(일반고)전라남도 담양군 담양읍,1 명1 명0 명,0 명0 명0 명,1 명,
2,한빛고등학교(학력인정)전라남도 담양군 대전면,1 명0 명1 명,0 명0 명0 명,1 명,
0,전남과학고등학교(과학고)전라남도 나주시 금천면 오강리,2 명2 명0 명,22 명22 명0 명,24 명,
1,전남외국어고등학교(외국어고)전라남도 나주시 용산동,2 명1 명1 명,0 명0 명0 명,2 명,
2,나주고등학교(자율형공립고)전라남도 나주시 교동,0 명0 명0 명,0 명0 명0 명,0 명,
0,광양제철고등학교(자율형사립고)전라남도 광양시 금호동,6 명5 명1 명,1 명1 명0 명,7 명,
1,광양백운고등학교(일반고)전라남도 광양시 중동,0 명0 명0 명,0 명0 명0 명,0 명,
2,광양고등학교(자율형공립고)전라남도 광양시 봉강면 석사리,0 명0 명0 명,0 명0 명0 명,0 명,
3,광양여자고등학교(일반고)전라남도 광양시 광양읍,0 명0 명0 명,0 명0 명0 명,0 명,
0,고흥고등학교(일반고)전라남도 고흥군 고흥읍,0 명0 명0 명,0 명0 명0 명,0 명,
0,호남고등학교(일반고)전라북도 정읍시 시기동,1 명1 명0 명,0 명0 명0 명,1 명,
1,정주고등학교(일반고)전라북도 정읍시 금붕동,0 명0 명0 명,0 명0 명0 명,0 명,
2,배영고등학교(일반고)전라북도 정읍시 흑암동,0 명0 명0 명,0 명0 명0 명,0 명,
