,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"8,500",1991,2017,용담로116번길,00015,00000,47130,01,4715898,황성동,0893,0000,47130,12400,1,황성주공2차,4,11,47130-50,39.3,893,47130,1,,,0
37,,"11,650",1992,2017,황성로69번길,00005,00000,47130,01,4716328,황성동,0273,0001,47130,12400,1,청우2차(102동),4,11,47130-42,66.04,273-1,47130,8,,,0
38,,"7,100",1990,2017,원지길,00010,00000,47130,01,4715930,황성동,0242,0002,47130,12400,1,동보 (242-2),4,14,47130-119,61.57,242-2,47130,3,,,0
39,,"12,000",1999,2017,유림로,00006,00009,47130,00,3305049,황성동,0634,0001,47130,12400,1,제일타운,4,15,47130-37,59.76,634-1,47130,6,,,0
40,,"17,100",1992,2017,용담로104번길,00041,00000,47130,01,4715895,황성동,0535,0010,47130,12400,1,황성현대3차,4,16,47130-46,84.84,535-10,47130,8,,,0
41,,"12,200",1993,2017,용담로92번길,00038,00000,47130,00,4715900,황성동,0508,0001,47130,12400,1,신안그린파크,4,17,47130-31,69.715,508-1,47130,1,,,
42,,"14,800",1998,2017,황성로,00060,00000,47130,00,3305067,황성동,0277,0006,47130,12400,1,황성현대5,4,17,47130-47,59.985,277-6,47130,4,,,
43,,"13,300",1992,2017,유림로33번길,00010,00000,47130,00,4715983,황성동,0643,0006,47130,12400,1,삼익세라믹,4,18,47130-29,81.27,643-6,47130,4,,,
44,,"26,000",1997,2017,황성로69번길,00013,00006,47130,00,4716328,황성동,0241,0004,47130,12400,1,청우3차(301~303동),4,20,47130-39,135.36,241-4,47130,10,,,
45,,"18,000",1997,2017,황성로69번길,00018,00000,47130,01,4716328,황성동,0552,0002,47130,12400,1,청우4차(401동),4,23,47130-40,84.745,552-2,47130,1,,,0
46,,"29,300",1992,2017,황성로,00035,00006,47130,00,3305067,황성동,0511,0000,47130,12400,1,럭키황성 101동~105동,4,24,47130-24,156.07,511,47130,5,,,0
47,,"25,300",1997,2017,황성로69번길,00013,00006,47130,00,4716328,황성동,0241,0004,47130,12400,1,청우3차(301~303동),4,24,47130-39,135.36,241-4,47130,5,,,
48,,"12,500",1992,2017,유림로33번길,00010,00000,47130,00,4715983,황성동,0643,0006,47130,12400,1,삼익세라믹,4,27,47130-29,69.21,643-6,47130,5,,,
49,,"9,000",1986,2017,황성로16번길,00039,00000,47130,01,4716323,황성동,0295,0000,47130,12400,1,황성주공1차,4,27,47130-49,47.1,295,47130,3,,,0
50,,"17,000",1993,2017,용담로92번길,00038,00000,47130,00,4715900,황성동,0508,0001,47130,12400,1,신안그린파크,4,27,47130-31,80.58,508-1,47130,6,,,
51,,"12,000",1995,2017,용담로116번길,00063,00000,47130,00,4715898,황성동,0545,0000,47130,12400,1,"신흥로얄맨션2차(102,103동)",4,28,47130-33,59.98,545,47130,16,,,
52,,"8,730",1991,2017,용담로116번길,00015,00000,47130,01,4715898,황성동,0893,0000,47130,12400,1,황성주공2차,4,28,47130-50,39.3,893,47130,4,,,0
53,,"15,000",1996,2017,승삼1길,00016,00000,47130,01,4715729,용강동,1300,0000,47130,12500,1,서한타운,4,3,47130-58,75.22,1300,47130,9,,,0
