법정동명,학원명,계열명,정원합계,주소,학원ID
전라북도 군산시,불스아카데미학원,종합(대),290,전라북도 군산시 월명로 291,65052
전라북도 군산시,브니엘미술학원,예능(대),62,전라북도 군산시 수송동로 100,65053
전라북도 군산시,비바체피아노음악학원,예능(대),55,전라북도 군산시 백토로 93,65054
전라북도 군산시,비상잉글리시아이영어학원,국제화,96,전라북도 군산시 황룡안길 50,65055
전라북도 군산시,비엔케이영수학원,입시.검정 및 보습,136,전라북도 군산시 수송로 210,65056
전라북도 군산시,비욘드어학원,종합(대),68,전라북도 군산시 나운안1길 7,65057
전라북도 군산시,비포유어학원,국제화,144,전라북도 군산시 수송남로 16,65058
전라북도 군산시,빌컴퓨터학원,종합(대),716,전라북도 군산시 수송로 202,65059
전라북도 군산시,뻔뻔수학원,입시.검정 및 보습,73,전라북도 군산시 하나운로 71,65060
전라북도 군산시,뿌리미술학원,예능(대),90,전라북도 군산시 하나운로 75,65061
전라북도 군산시,삼공삼공영어리마인드수학학원,입시.검정 및 보습,104,전라북도 군산시 신지길 7,65062
전라북도 군산시,삼성영어.스마트수학학원,입시.검정 및 보습,40,전라북도 군산시 옥산면 월명로 55,65063
전라북도 군산시,삼성영어·수학미장학원,입시.검정 및 보습,188,전라북도 군산시 미장안길 50-1,65064
전라북도 군산시,삼성영어나운학원,입시.검정 및 보습,116,전라북도 군산시 하나운로 18,65065
전라북도 군산시,삼영종합중장비학원,직업기술,370,전라북도 군산시 임피면 항쟁로 66,65066
전라북도 군산시,상상아트미술학원,예능(대),25,전라북도 군산시 하나운로 18,65067
전라북도 군산시,상상어학원,국제화,102,전라북도 군산시 수송로 204,65068
전라북도 군산시,상승학원,입시.검정 및 보습,105,전라북도 군산시 삼화길 6,65069
전라북도 군산시,새음피아노학원,예능(대),28,전라북도 군산시 하나운로 18,65070
전라북도 군산시,새하늘소리피아노학원,예능(대),48,전라북도 군산시 대학로 116,65071
전라북도 군산시,새한피아노학원,예능(대),53,전라북도 군산시 경촌3길 23,65072
전라북도 군산시,샤인피아노학원,예능(대),51,전라북도 군산시 미장안길 50-1,65073
