,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,"19,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,3,41480-6,84.942,283,41480,13,,,
121,,"17,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,3,41480-6,84.942,283,41480,1,,,
122,,"20,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,4,41480-6,84.942,283,41480,15,,,
123,,"23,900",2009,2017,시청로,00123,00001,41480,02,0,3206122,아동동,0897,0000,41480,10200,1,신안실크밸리 1차(897-0),2,6,41480-595,84.9588,897,41480,5,,,
124,,"18,400",1997,2017,마무리길,00022,00000,41480,02,0,4418199,아동동,0339,0000,41480,10200,1,장안(미우)5(339-0),2,8,41480-2,84.87,339,41480,9,,,
125,,"22,300",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,10,41480-6,115.062,283,41480,2,,,
126,,"18,200",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,10,41480-6,84.942,283,41480,2,,,
127,,"18,900",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,15,41480-6,84.942,283,41480,22,,,
128,,"19,100",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,15,41480-6,84.942,283,41480,16,,,
129,,"24,700",2010,2017,시청로,00085,00000,41480,02,0,3206122,아동동,0900,0000,41480,10200,1,신안실크밸리2차(900-0),2,16,41480-623,84.7631,900,41480,12,,,
130,,"18,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,18,41480-6,59.977,283,41480,11,,,
131,,"10,500",1990,2017,중앙로,00280,00000,41480,02,0,3206129,아동동,0329,0006,41480,10200,1,장안초원1(329-6),2,18,41480-62,59.73,329-6,41480,9,,,
132,,"20,300",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,18,41480-6,84.942,283,41480,21,,,
133,,"8,800",1990,2017,정담길,00065,00016,41480,02,0,4418712,아동동,0291,0010,41480,10200,1,무궁화APT,2,20,41480-1,41.4,291-10,41480,1,,,
134,,"21,800",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,21,41480-6,115.062,283,41480,3,,,
135,,"10,500",1990,2017,시청로,00201,00000,41480,02,0,3206122,아동동,0291,0010,41480,10200,1,무궁화APT,2,22,41480-1,59.61,291-10,41480,3,,,
136,,"17,200",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,23,41480-6,59.977,283,41480,7,,,
137,,"18,200",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,24,41480-6,59.977,283,41480,12,,,
138,,"20,850",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,24,41480-6,84.942,283,41480,13,,,
139,,"18,400",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,24,41480-6,84.942,283,41480,8,,,
140,,"18,700",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),2,24,41480-6,84.942,283,41480,2,,,
141,,"15,000",1991,2017,마무리길,00040,00000,41480,02,0,4418199,아동동,0328,0049,41480,10200,1,장안초원2(328-49),2,25,41480-4,84.6,328-49,41480,3,,,
142,,"25,000",2010,2017,시청로,00085,00000,41480,02,0,3206122,아동동,0900,0000,41480,10200,1,신안실크밸리2차(900-0),2,25,41480-623,84.8014,900,41480,5,,,
