,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,"15,000",1998,2017,정담길,00020,00000,41480,02,0,4418712,아동동,0275,0009,41480,10200,1,파라다이스(275-9),11,27,41480-5,59.34,275-9,41480,9,,,
87,,"25,000",2009,2017,시청로,00123,00000,41480,02,0,3206122,아동동,0897,0000,41480,10200,1,신안실크밸리 1차(897-0),11,27,41480-595,84.9588,897,41480,8,,,
88,,"22,000",2009,2017,시청로,00123,00000,41480,00,0,3206122,아동동,0897,0000,41480,10200,1,신안실크밸리 1차(897-0),11,27,41480-595,84.9588,897,41480,2,,,
89,,"10,000",1990,2017,중앙로,00280,00000,41480,02,0,3206129,아동동,0329,0006,41480,10200,1,장안초원1(329-6),11,27,41480-62,59.73,329-6,41480,7,,,
90,,"18,300",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,27,41480-6,84.942,283,41480,23,,,
91,,"24,000",1992,2017,중앙로,00292,00000,41480,02,0,3206129,아동동,0328,0052,41480,10200,1,장안빌라트(328-52),11,29,41480-3,127.29,328-52,41480,3,,,
92,,"19,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,29,41480-6,84.942,283,41480,5,,,
93,,"12,500",1990,2017,정담길,00065,00019,41480,02,0,4418712,아동동,0291,0010,41480,10200,1,무궁화APT,11,30,41480-1,59.975,291-10,41480,4,,,
94,,"23,400",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,30,41480-6,140.339,283,41480,7,,,
95,,"15,500",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,13,41480-74,59.73,587,41480,7,,,
96,,"15,000",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,20,41480-74,59.73,587,41480,3,,,
97,,"19,850",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,21,41480-74,84.937,587,41480,11,,,
98,,"16,000",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,22,41480-74,59.73,587,41480,2,,,
99,,"15,500",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,23,41480-74,59.73,587,41480,6,,,
100,,"12,000",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,25,41480-74,45.677,587,41480,11,,,
101,,"12,000",2001,2017,평화로,00280,00000,41480,02,0,3206093,야동동,0587,0000,41480,10400,1,대방노블랜드(587-0),11,27,41480-74,45.677,587,41480,9,,,
102,,"16,500",2000,2017,평화로,00310,00000,41480,00,,3206093,검산동,0130,0008,41480,10500,1,성원,11,3,41480-28,84.75,130-8,41480,8,,,
103,,"16,250",2001,2017,평화로348번길,00050,00000,41480,01,0,4418829,검산동,0310,0000,41480,10500,1,유승,11,3,41480-75,74.974,310,41480,13,,,
104,,"21,500",2000,2017,평화로,00310,00000,41480,00,,3206093,검산동,0130,0008,41480,10500,1,성원,11,7,41480-28,136.2,130-8,41480,7,,,
105,,"16,250",2001,2017,평화로348번길,00050,00000,41480,01,0,4418829,검산동,0310,0000,41480,10500,1,유승,11,10,41480-75,84.792,310,41480,1,,,
106,,"42,500",2009,2017,미래로,00422,00000,41480,02,0,3012097,야당동,0981,0000,41480,10800,1,한라비발디 센트럴파크(981),11,1,41480-606,101.152,981,41480,4,,,
107,,"38,800",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,1,41480-745,84.0669,991,41480,9,,,
108,,"30,900",2004,2017,한빛로,00011,00000,41480,02,0,3206133,야당동,0975,0000,41480,10800,1,자유로아이파크(975-0),11,2,41480-84,101.986,975,41480,14,,,
109,,"42,500",2009,2017,미래로,00422,00000,41480,02,0,3012097,야당동,0981,0000,41480,10800,1,한라비발디 센트럴파크(981),11,2,41480-606,100.625,981,41480,18,,,
110,,"43,500",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,4,41480-745,101.8525,991,41480,27,,,
111,,"30,100",2004,2017,한빛로,00011,00000,41480,02,0,3206133,야당동,0975,0000,41480,10800,1,자유로아이파크(975-0),11,6,41480-84,84.992,975,41480,17,,,
112,,"36,200",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,6,41480-745,84.045,991,41480,15,,,
113,,"48,600",2009,2017,미래로,00422,00000,41480,02,0,3012097,야당동,0981,0000,41480,10800,1,한라비발디 센트럴파크(981),11,6,41480-606,120.236,981,41480,16,,,
114,,"32,050",2004,2017,한빛로,00011,00000,41480,02,0,3206133,야당동,0975,0000,41480,10800,1,자유로아이파크(975-0),11,7,41480-84,101.986,975,41480,10,,,
115,,"32,700",2011,2017,와석순환로,00015,00000,41480,02,0,3206063,야당동,1031,0000,41480,10800,1,운정아모리움,11,7,41480-688,84.87,1031,41480,11,,,
