,역번호,역사명,노선번호,노선명,환승역구분,환승노선번호,환승노선명,역위도,역경도,주소,시도코드,시군구코드,법정동코드,환승노선개수
139,103,동두천중앙역,k0205,경원선,일반역,,,37.901818,127.056528,경기도 동두천시,31,31080,4125000000,0
140,103,당리역,S2601,부산도시철도 1호선,일반역,,,35.103532,128.973846,부산광역시 사하구,21,21100,2638000000,0
141,103,서부산유통지구역,L4801,부산-김해경전철,일반역,,,35.166435,128.954807,부산광역시 강서구,21,21120,2644000000,0
142,103,장기역,L4101,김포골드라인,일반역,,-,37.64405889,126.6690798,경기도 김포시,31,31230,4157000000,0
143,103,서부산유통지구역,L4801,부산-김해경전철,일반역,,,35.166435,128.954807,부산광역시 강서구,21,21120,2644000000,0
144,103,남광주역,S2901,광주도시철도 1호선,일반역,,,35.1478534,126.921807,광주광역시 동구,24,24010,2911000000,0
145,104,운양역,L4101,김포골드라인,일반역,,-,37.65376915,126.6838479,경기도 김포시,31,31230,4157000000,0
146,104,사하역,S2601,부산도시철도 1호선,일반역,,,35.099847,128.9831,부산광역시 사하구,21,21100,2638000000,0
147,104,공항역,L4801,부산-김해경전철,일반역,,,35.171929,128.948574,부산광역시 강서구,21,21120,2644000000,0
148,104,지행역,k0205,경원선,일반역,,,37.892361,127.055734,경기도 동두천시,31,31080,4125000000,0
149,104,문화전당역(구도청),S2901,광주도시철도 1호선,일반역,,,35.144698,126.9196731,광주광역시 동구,24,24010,2911000000,0
150,104,대전,S3001,대전도시철도 1호선,일반역,,,36.331583,127.433118,대전광역시 동구,25,25010,3011000000,0
151,104,공항역,L4801,부산-김해경전철,일반역,,,35.171929,128.948574,부산광역시 강서구,21,21120,2644000000,0
152,105,걸포북변역,L4101,김포골드라인,일반역,,-,37.63164148,126.705778,경기도 김포시,31,31230,4157000000,0
153,105,금남로4가역,S2901,광주도시철도 1호선,일반역,,,35.150976,126.914446,광주광역시 동구,24,24010,2911000000,0
154,105,덕두역,L4801,부산-김해경전철,일반역,,,35.182006,128.954217,부산광역시 강서구,21,21120,2644000000,0
155,105,덕두역,L4801,부산-김해경전철,일반역,,,35.182006,128.954217,부산광역시 강서구,21,21120,2644000000,0
156,105,중앙로,S3001,대전도시철도 1호선,일반역,,,36.328664,127.425842,대전광역시 중구,25,25020,3014000000,0
157,105,괴정역,S2601,부산도시철도 1호선,일반역,,,35.099816,128.992144,부산광역시 사하구,21,21100,2638000000,0
158,105,덕정역,k0205,경원선,일반역,,,37.843216,127.061511,경기도 양주시,31,31260,4163000000,0
159,106,중구청,S3001,대전도시철도 1호선,일반역,,,36.324831,127.419627,대전광역시 중구,25,25020,3014000000,0
160,106,등구역,L4801,부산-김해경전철,일반역,,,35.196194,128.963551,부산광역시 강서구,21,21120,2644000000,0
161,106,덕계역,k0205,경원선,일반역,,,37.818761,127.056676,경기도 양주시,31,31260,4163000000,0
162,106,사우(김포시청)역,L4101,김포골드라인,일반역,,-,37.62035224,126.7196954,경기도 김포시,31,31230,4157000000,0
163,106,등구역,L4801,부산-김해경전철,일반역,,,35.196194,128.963551,부산광역시 강서구,21,21120,2644000000,0
164,106,금남로5가역,S2901,광주도시철도 1호선,일반역,,,35.1537137,126.910933,광주광역시 북구,24,24040,2917000000,0
165,106,대티역,S2601,부산도시철도 1호선,일반역,,,35.103126,128.999936,부산광역시 사하구,21,21100,2638000000,0
166,107,풍무역,L4101,김포골드라인,일반역,,-,37.61243514,126.7324441,경기도 김포시,31,31230,4157000000,0
167,107,서대신역,S2601,부산도시철도 1호선,일반역,,,35.110937,129.012178,부산광역시 서구,21,21020,2614000000,0
168,107,대저역,L4801,부산-김해경전철,환승역,L4801+S2603,부산-김해경전철+부산도시철도 3호선,35.213056,128.960647,부산광역시 강서구,21,21120,2644000000,2
169,107,양동시장역,S2901,광주도시철도 1호선,일반역,,,35.154176,126.904489,광주광역시 서구,24,24020,2914000000,0
170,107,양주역,k0205,경원선,일반역,,,37.774281,127.044719,경기도 양주시,31,31260,4163000000,0
171,107,대저역,L4801,부산-김해경전철,환승역,L4801+S2603,부산-김해경전철+부산도시철도 3호선,35.213056,128.960647,부산광역시 강서구,21,21120,2644000000,2
172,107,서대전네거리,S3001,대전도시철도 1호선,일반역,,,36.322416,127.412518,대전광역시 중구,25,25020,3014000000,0
173,108,녹양역,k0205,경원선,일반역,,,37.759416,127.042272,경기도 의정부시,31,31030,4115000000,0
174,108,오룡,S3001,대전도시철도 1호선,일반역,,,36.328582,127.405046,대전광역시 중구,25,25020,3014000000,0
175,108,고촌역,L4101,김포골드라인,일반역,,-,37.60121656,126.7703242,경기도 김포시,31,31230,4157000000,0
176,108,동대신역,S2601,부산도시철도 1호선,일반역,,,35.110452,129.017684,부산광역시 서구,21,21020,2614000000,0
177,108,돌고개역,S2901,광주도시철도 1호선,일반역,,,35.152047,126.895637,광주광역시 서구,24,24020,2914000000,0
178,108,평강역,L4801,부산-김해경전철,일반역,,,35.214048,128.950756,부산광역시 강서구,21,21120,2644000000,0
179,108,평강역,L4801,부산-김해경전철,일반역,,,35.214048,128.950756,부산광역시 강서구,21,21120,2644000000,0
180,109,토성역,S2601,부산도시철도 1호선,일반역,,,35.100727,129.019776,부산광역시 서구,21,21020,2614000000,0
181,109,대사역,L4801,부산-김해경전철,일반역,,,35.217686,128.938423,부산광역시 강서구,21,21120,2644000000,0
182,109,가능역,k0205,경원선,일반역,,,37.748362,127.044251,경기도 의정부시,31,31030,4115000000,0
